flnatureza,dsdocumento,nmprimeiro,nmsegundo,dtregistro
2,61953248826030,Bruno,Teixeira,2023-08-12
2,91029446803286,Gabriel,Ribeiro,2021-07-20
2,61157150310402,Rafael,Teixeira,2010-07-30
1,46697261930,Bruno,Martins,2012-01-23
1,83334363348,Tiago,Barbosa,2008-02-03
2,16808753990023,Ana,Martins,2022-08-18
2,20302056012889,João,Silva,2022-07-04
2,00412291037339,Helena,Rocha,2011-12-30
2,60816613318131,Natália,Lopes,2010-03-19
1,34704119662,Patrícia,Gomes,2025-05-11
2,57059009914770,Natália,Azevedo,2010-12-18
2,06627246158937,Bruno,Oliveira,2021-12-23
2,70007268208604,Marcos,Medeiros,2025-06-18
2,28757398769480,Natália,Ferreira,2017-01-09
2,19090326958685,Bruno,Moraes,2008-04-17
1,42500770250,Eduardo,Martins,2019-05-09
2,00247840566894,Carlos,Moraes,2016-09-17
1,87347369800,João,Ribeiro,2005-01-16
2,51813420365074,Luiz,Ferreira,2024-11-22
1,95317349677,Carlos,Medeiros,2011-04-27
1,80941432618,Helena,Almeida,2005-12-10
1,81284051155,Isabela,Ribeiro,2007-11-29
2,37085479166941,Ana,Oliveira,2011-10-17
2,01157939163436,Sandra,Medeiros,2019-09-17
1,83647187905,Carlos,Moraes,2017-03-06
1,73475665225,Karen,Almeida,2025-01-16
2,89173796961268,Patrícia,Barbosa,2022-04-09
1,77465737752,Karen,Rocha,2006-06-28
2,60390954481136,Ana,Pereira,2013-12-18
2,40344064939804,Tiago,Silva,2025-08-11
1,38332894375,Otávio,Martins,2016-02-15
1,58107272623,Sandra,Medeiros,2020-02-22
1,29435917883,Karen,Teixeira,2024-03-24
2,54676023620525,Karen,Silva,2015-02-11
2,20444007344115,Gabriel,Silva,2009-01-30
1,19409549459,Isabela,Oliveira,2008-06-27
2,45995829269528,Isabela,Medeiros,2025-03-07
1,79702185100,Ana,Oliveira,2013-10-07
2,07216977374658,Ana,Dias,2015-05-21
1,96475765056,Luiz,Moraes,2024-07-04
1,05288257374,Sandra,Rocha,2013-11-14
1,77556278458,Rafael,Ribeiro,2016-04-04
2,32755021711316,Karen,Dias,2008-12-23
2,59750372711330,Rafael,Oliveira,2019-04-05
1,40429402868,Gabriel,Almeida,2013-01-23
2,39371149587460,Tiago,Gomes,2017-08-26
2,26557628526267,Sandra,Martins,2014-06-22
2,73458444991722,Sandra,Dias,2017-07-11
2,81969507727081,Patrícia,Cardoso,2025-01-23
2,08833777084567,Marcos,Ribeiro,2013-03-05
2,96557414787913,Ana,Silva,2005-10-13
2,29059142481408,Isabela,Martins,2024-04-14
2,14234731975682,João,Oliveira,2009-09-06
2,61979447814810,Tiago,Azevedo,2007-12-21
2,26130199451371,Tiago,Costa,2010-01-26
1,07606122440,Patrícia,Medeiros,2018-07-03
2,89620428041655,Natália,Costa,2012-03-30
2,43898535620738,Gabriel,Medeiros,2014-09-07
1,13325544326,Rafael,Rocha,2006-01-28
1,48321660503,Tiago,Azevedo,2013-10-12
2,20802069419341,Bruno,Cardoso,2019-07-29
1,32849822994,Fernanda,Almeida,2007-11-27
2,86649523069886,Vanessa,Gomes,2023-08-11
2,41989804065532,Karen,Moraes,2017-02-08
1,39792079509,Fernanda,Lopes,2008-04-15
1,85025324118,Marcos,Dias,2024-02-22
1,80941083795,Natália,Barbosa,2023-07-03
1,25560645484,Otávio,Moreira,2006-06-17
2,66124283586265,Rafael,Ferreira,2012-08-02
2,33835693467052,Marcos,Cardoso,2023-11-09
1,34749275334,Isabela,Souza,2009-02-15
2,31378600161978,Karen,Almeida,2012-12-20
1,30541320233,Isabela,Ferreira,2020-04-13
2,04211864765646,Tiago,Costa,2007-09-09
2,20957501785082,Carlos,Oliveira,2009-06-04
2,13910641444893,Ana,Cardoso,2018-01-10
1,31705364576,Tiago,Ferreira,2024-12-17
2,82248074477941,Helena,Ribeiro,2012-09-25
2,42837828759931,Carlos,Medeiros,2017-05-14
2,43752024663489,João,Medeiros,2019-05-08
2,86849531794026,Natália,Moraes,2008-08-25
2,54147735010130,Rafael,Moreira,2006-06-28
1,44591196400,Isabela,Almeida,2014-10-19
2,45186291609634,Luiz,Teixeira,2010-09-08
1,61949262027,Karen,Ribeiro,2023-12-15
1,94466564564,Patrícia,Ferreira,2018-04-05
1,49228202543,Natália,Almeida,2024-03-13
2,66087210771757,Fernanda,Lopes,2024-06-07
2,15796883573790,Rafael,Almeida,2014-09-15
1,17345845802,Luiz,Azevedo,2007-01-14
2,99171745328134,Otávio,Ribeiro,2013-01-30
1,01484033498,Helena,Teixeira,2011-10-08
1,16378405445,Daniel,Rocha,2007-03-23
2,80139781141173,Eduardo,Ribeiro,2013-12-25
2,64182461124732,Rafael,Almeida,2022-03-23
1,14937210154,Carlos,Ribeiro,2018-06-30
2,67023552134718,Ana,Ferreira,2023-05-21
2,46839592705831,Rafael,Medeiros,2007-10-11
1,69036233873,Otávio,Azevedo,2011-08-22
1,92160613887,Ana,Teixeira,2010-10-18
1,98838089619,Eduardo,Oliveira,2016-08-22
1,41537199185,Helena,Martins,2013-06-15
2,10274084707971,Otávio,Moraes,2006-01-01
1,79807617786,Daniel,Costa,2018-06-09
2,84855245947223,Patrícia,Moraes,2013-06-09
1,84530406287,Vanessa,Medeiros,2017-10-27
2,16379689273639,João,Azevedo,2011-09-15
1,72331177643,Carlos,Lopes,2007-05-25
2,47799653551401,Sandra,Barbosa,2006-03-30
2,49570889768576,Isabela,Cardoso,2019-08-20
2,42735889724865,Marcos,Ferreira,2024-08-11
2,68711075227336,Sandra,Costa,2023-12-10
1,12240306686,Tiago,Cardoso,2015-02-12
2,78604612885256,Ana,Azevedo,2018-10-23
1,28517231494,Fernanda,Azevedo,2009-03-18
1,72601592576,Natália,Oliveira,2023-07-12
1,25414587523,Rafael,Lopes,2015-02-02
1,90592548560,Vanessa,Lopes,2017-07-08
1,90089362056,Otávio,Costa,2015-03-24
1,81568579169,Karen,Gomes,2019-08-25
2,74349801401508,Natália,Barbosa,2018-04-16
2,86354967916217,Fernanda,Cardoso,2013-11-02
2,30906016310266,Bruno,Medeiros,2021-02-23
1,55861706525,João,Costa,2018-03-29
2,24532642834476,Daniel,Ferreira,2023-04-01
2,43014487514645,Natália,Azevedo,2013-02-01
1,29312791467,Patrícia,Rocha,2019-08-25
1,11623527198,Ana,Martins,2013-02-06
1,04497771011,Tiago,Moreira,2021-12-14
1,99224442920,Natália,Ferreira,2017-12-27
2,03998711869447,João,Ribeiro,2020-03-07
2,70783553277057,Ana,Souza,2017-01-02
1,52107860671,Ana,Lopes,2022-06-12
1,76486860167,Vanessa,Martins,2008-02-23
2,22962089860403,Isabela,Almeida,2005-03-16
2,37600651546402,Helena,Cardoso,2007-08-31
1,10105889156,Patrícia,Medeiros,2007-10-01
1,01823046864,Vanessa,Almeida,2023-10-27
2,66746953390596,Tiago,Moraes,2023-12-17
1,74757792572,Ana,Dias,2006-04-27
2,50559021182049,Marcos,Medeiros,2011-12-27
1,09336755338,João,Azevedo,2012-12-05
1,83499603848,Sandra,Souza,2017-01-02
1,22268800581,Patrícia,Souza,2011-12-27
2,52940546458286,Marcos,Lopes,2021-05-12
2,98207351117135,Karen,Gomes,2009-06-10
2,14555349244559,Ana,Almeida,2007-05-16
1,48519950964,Ana,Lopes,2023-06-05
2,83704492779944,Otávio,Martins,2022-02-23
2,65611538203130,Tiago,Martins,2023-08-19
1,36955566243,Helena,Souza,2025-12-11
1,93973585301,Fernanda,Costa,2011-03-17
2,63254294074172,Luiz,Rocha,2015-03-07
2,87725015231206,Isabela,Ribeiro,2022-01-31
1,13731737472,Luiz,Azevedo,2015-01-10
2,14330878609489,Tiago,Silva,2011-02-03
2,43429706516051,Bruno,Ferreira,2006-11-10
2,31035131802046,Tiago,Ferreira,2008-07-16
1,72176788806,Patrícia,Lopes,2023-02-21
1,69018818508,Gabriel,Moraes,2021-09-24
1,97701113388,Helena,Moreira,2014-02-11
2,99308819774290,Tiago,Pereira,2018-12-15
1,46184360485,Eduardo,Cardoso,2013-02-22
2,23394175036141,Helena,Azevedo,2020-11-14
1,58799986304,Isabela,Oliveira,2015-09-11
1,50378629486,Bruno,Pereira,2025-01-15
2,00968132635062,Patrícia,Barbosa,2010-04-10
1,74088185378,Isabela,Silva,2011-06-18
2,50447886393341,Vanessa,Ribeiro,2023-08-26
1,82694324406,Otávio,Pereira,2013-11-15
1,99797857984,Isabela,Costa,2012-04-13
2,81767167363536,Marcos,Souza,2022-08-05
1,09526613842,Bruno,Gomes,2013-08-12
1,01296148628,Rafael,Almeida,2006-10-24
2,05415691446996,Ana,Ribeiro,2010-07-16
1,95096920742,João,Barbosa,2021-05-10
1,67845814838,Helena,Souza,2025-02-28
1,19844439594,Vanessa,Moraes,2018-09-23
2,31918760339273,Ana,Martins,2021-03-31
1,55165525467,Patrícia,Souza,2008-09-25
1,30803559545,Sandra,Moraes,2022-10-05
2,88960813935609,Sandra,Moraes,2020-06-25
2,27135154188295,João,Silva,2014-04-25
2,48634834930667,Helena,Almeida,2022-02-18
1,03437005543,Patrícia,Azevedo,2020-05-22
2,53420066389626,Bruno,Costa,2022-05-14
1,26971160475,Carlos,Martins,2023-12-13
1,84988723172,Karen,Moreira,2016-10-31
1,24770072045,Rafael,Almeida,2011-01-01
2,89050779771676,Karen,Barbosa,2005-12-25
1,68454506905,Patrícia,Barbosa,2016-10-09
1,82087865894,Tiago,Oliveira,2017-12-04
1,98600873425,Fernanda,Cardoso,2025-12-15
1,75778658829,Bruno,Gomes,2012-05-18
1,70954595056,Tiago,Dias,2017-12-15
1,27359478522,Eduardo,Azevedo,2012-02-25
2,76230008767062,Natália,Silva,2015-03-05
1,75735698337,Luiz,Medeiros,2015-04-02
2,66142743091657,Natália,Costa,2012-01-29
2,59377203931079,João,Gomes,2010-02-13
2,55557276699501,Carlos,Ribeiro,2007-04-15
1,70718111798,Karen,Azevedo,2022-09-24
1,97455623528,Daniel,Dias,2018-01-07
2,89705931873931,Tiago,Almeida,2024-07-29
1,93855029492,Helena,Rocha,2018-01-30
1,25939286221,Otávio,Moreira,2012-11-02
2,87125805932651,Patrícia,Gomes,2020-01-01
2,03951124024396,Tiago,Cardoso,2008-08-08
1,22646516513,Natália,Oliveira,2018-06-11
1,44580179590,Ana,Azevedo,2006-08-30
1,98383717779,Rafael,Gomes,2025-06-25
2,21681512087219,João,Gomes,2018-08-17
2,18239261800560,Vanessa,Almeida,2020-08-06
2,24231085782367,Patrícia,Teixeira,2012-12-22
1,79996318628,Ana,Souza,2009-03-06
2,81769568144920,Patrícia,Medeiros,2021-11-08
2,04651833903524,Marcos,Dias,2019-06-07
1,32201216382,Rafael,Silva,2011-07-11
1,30511223777,Tiago,Gomes,2024-03-10
1,66452472289,Daniel,Souza,2019-12-05
2,42103144423437,Gabriel,Oliveira,2021-12-20
2,84290413706484,Karen,Martins,2015-03-29
1,63533990296,Tiago,Cardoso,2012-04-29
1,13286696861,Natália,Ribeiro,2014-01-13
2,03040197716047,Marcos,Lopes,2019-11-05
2,66534643457636,Helena,Rocha,2025-02-06
1,47891951522,Patrícia,Lopes,2010-06-05
2,82470358867767,Helena,Oliveira,2006-06-25
1,19113113298,Luiz,Moreira,2017-04-04
1,44879680675,Isabela,Almeida,2022-09-18
1,15926895404,Patrícia,Ferreira,2008-09-29
2,03220616575480,Natália,Souza,2016-07-20
1,38616079771,Tiago,Medeiros,2012-08-14
1,44862202510,Otávio,Rocha,2019-09-12
2,97750149978856,Daniel,Lopes,2008-07-18
2,98854019805056,Marcos,Cardoso,2008-10-09
2,66277361223711,Rafael,Barbosa,2017-12-11
2,76970534075245,Luiz,Moraes,2013-10-02
2,92123844882487,Fernanda,Gomes,2008-07-11
1,59234744338,Marcos,Almeida,2008-10-31
1,18486779025,Helena,Lopes,2013-08-04
1,75033558039,Otávio,Gomes,2022-03-28
2,34791316661996,Carlos,Azevedo,2019-07-30
2,38342361536071,Carlos,Lopes,2020-09-03
2,31780866490771,Karen,Pereira,2018-04-22
2,14252419863007,Isabela,Dias,2017-06-18
1,49829159563,Karen,Ferreira,2014-04-06
1,19383927745,Carlos,Souza,2005-12-25
2,74633834154556,Fernanda,Azevedo,2024-04-16
1,33105033324,Tiago,Lopes,2017-09-27
2,26917978717544,Isabela,Martins,2017-08-16
1,14854590633,Marcos,Azevedo,2015-03-11
1,13803477779,João,Ferreira,2014-07-06
2,97700087723209,Tiago,Ribeiro,2014-07-10
1,38220189163,Luiz,Souza,2009-09-14
2,53783106905394,Tiago,Ribeiro,2019-03-26
1,32846737082,Vanessa,Dias,2011-07-02
1,51107343724,Rafael,Cardoso,2007-05-02
1,17949814675,Ana,Pereira,2005-12-13
1,96552935187,Gabriel,Barbosa,2024-12-01
1,96404774502,Marcos,Silva,2013-12-25
1,42192935416,Karen,Martins,2025-09-06
2,23914884903888,Fernanda,Ferreira,2008-03-21
2,12443725441167,Isabela,Medeiros,2010-05-28
1,62977030094,Ana,Dias,2025-11-29
2,89203975109170,Fernanda,Silva,2005-01-05
2,43788801017394,Daniel,Medeiros,2011-04-09
1,25283208453,Luiz,Moraes,2025-09-26
1,30588708145,Carlos,Moraes,2014-10-14
1,36692484841,João,Souza,2014-06-07
2,34148542342535,Luiz,Barbosa,2024-12-06
1,79085347578,Carlos,Gomes,2006-11-02
1,74888961991,Daniel,Ribeiro,2014-10-17
1,34499403590,Carlos,Teixeira,2020-03-23
2,48456558745356,Natália,Costa,2019-04-22
1,12082714972,Gabriel,Rocha,2020-09-01
1,42102280320,Gabriel,Teixeira,2010-05-22
2,30288105094778,Fernanda,Barbosa,2012-10-04
1,71902349141,João,Pereira,2012-09-30
1,98334395977,Bruno,Oliveira,2022-09-08
1,00774865170,Luiz,Ferreira,2016-12-25
2,25545729162914,Fernanda,Azevedo,2008-12-14
1,02552331088,Tiago,Azevedo,2018-05-24
2,40158933857542,Gabriel,Moreira,2018-07-01
1,04799362791,Fernanda,Oliveira,2024-01-10
1,73912998141,Carlos,Pereira,2011-01-16
1,95415685451,Bruno,Moraes,2014-09-03
2,36679457898324,Vanessa,Moraes,2013-12-01
1,23487144377,Natália,Moraes,2005-08-25
1,87403551493,João,Rocha,2018-01-20
1,92109049472,Ana,Pereira,2012-02-19
2,20706212873509,Helena,Azevedo,2020-08-08
1,22942681590,Carlos,Ribeiro,2022-04-24
2,68127717639587,Fernanda,Lopes,2007-05-26
1,72043994325,Ana,Pereira,2005-05-28
1,94207915806,João,Barbosa,2025-09-05
1,22507145598,Luiz,Almeida,2009-10-26
2,03919922173050,Luiz,Moraes,2016-12-03
1,65234199917,Natália,Martins,2018-09-13
1,22353733825,Luiz,Martins,2021-05-19
1,76707760153,Carlos,Almeida,2007-09-13
2,82158010121013,Rafael,Teixeira,2013-05-04
1,97068744329,Daniel,Almeida,2010-12-28
2,69983370985632,Sandra,Silva,2020-05-03
2,55567153361136,Natália,Souza,2016-01-27
2,62349006973697,Fernanda,Almeida,2005-05-15
1,81764226622,Patrícia,Teixeira,2024-04-26
1,15609762674,Otávio,Ferreira,2022-03-21
1,50422743650,Tiago,Oliveira,2023-08-05
2,33360407970414,Carlos,Ribeiro,2006-04-18
2,76213371403420,Gabriel,Cardoso,2016-12-02
2,49323303559683,Isabela,Rocha,2013-08-20
1,72296806272,Bruno,Cardoso,2005-11-10
2,71397389016541,Gabriel,Pereira,2015-06-07
1,75410872559,Helena,Ferreira,2023-01-18
1,89679381555,Fernanda,Silva,2015-04-10
2,60800775184957,Carlos,Lopes,2012-05-14
1,74214481180,Bruno,Azevedo,2024-03-11
1,46793942960,Fernanda,Ribeiro,2015-08-04
2,37336948119745,Tiago,Gomes,2005-06-30
2,90686309956762,Gabriel,Souza,2025-08-03
1,82704544161,Bruno,Costa,2025-06-03
2,73292830367172,Tiago,Martins,2025-11-30
1,14130142951,Tiago,Souza,2014-12-18
1,34810555004,João,Silva,2006-07-12
2,61496949485788,Otávio,Azevedo,2020-12-10
2,63354817559815,Luiz,Ferreira,2019-07-18
2,53876610727881,Isabela,Gomes,2025-10-04
1,28088840868,Ana,Costa,2006-01-29
1,32976031339,Rafael,Ferreira,2015-07-24
1,04343403111,Helena,Martins,2009-10-12
1,09605694468,Luiz,Dias,2012-03-21
1,03074430237,Patrícia,Oliveira,2006-04-16
2,38024659280681,Luiz,Costa,2005-03-05
2,61176186369056,Karen,Pereira,2008-08-04
1,23552120089,Gabriel,Ribeiro,2023-12-21
2,98175126907737,Vanessa,Lopes,2018-12-29
1,58798775147,Karen,Gomes,2013-03-07
1,53427758981,Ana,Martins,2019-10-27
1,65938340211,Tiago,Silva,2010-03-14
2,75847948508580,Rafael,Martins,2011-10-28
2,58720571038357,Carlos,Almeida,2005-07-15
1,41252050365,Marcos,Costa,2016-09-16
1,18494945335,Helena,Azevedo,2024-12-02
1,75816893950,Eduardo,Lopes,2025-03-07
2,37908761796956,Daniel,Souza,2015-10-13
1,85701166216,Isabela,Silva,2025-07-22
1,52261095117,Luiz,Barbosa,2006-11-22
2,00346148872669,Daniel,Souza,2005-04-15
2,72799701777417,Karen,Azevedo,2016-11-23
1,80335474483,João,Dias,2019-10-12
2,00711496349972,Daniel,Ribeiro,2006-04-19
2,27395250009049,Natália,Moraes,2020-10-08
1,19292904626,Natália,Almeida,2005-07-28
1,19231423805,Karen,Almeida,2010-06-25
1,11715479680,Marcos,Teixeira,2015-01-10
2,35589464624465,Tiago,Martins,2010-12-17
2,56154769361355,Patrícia,Moraes,2007-11-14
1,98746500641,Ana,Silva,2012-08-13
1,35239568601,João,Cardoso,2009-09-08
1,53440952734,Bruno,Pereira,2023-02-17
1,33919010779,Karen,Souza,2012-10-01
2,44611655183060,Eduardo,Azevedo,2016-11-17
1,70420562350,Vanessa,Souza,2021-08-07
2,38277670530136,Bruno,Silva,2008-06-30
1,60951285006,Rafael,Costa,2023-05-27
1,90847638682,Ana,Ferreira,2006-08-21
1,10703894604,Bruno,Rocha,2017-10-08
2,98164240171691,Otávio,Souza,2009-02-09
2,61820493243895,Patrícia,Barbosa,2014-12-01
1,35129943545,Natália,Moreira,2023-05-28
2,60104759533462,Gabriel,Ferreira,2005-10-23
1,50750484706,Ana,Dias,2011-04-01
1,58035460259,Marcos,Moreira,2022-11-16
2,53000706173627,Patrícia,Dias,2020-08-15
2,62793202978462,Vanessa,Martins,2007-04-04
2,43917112261073,Natália,Moraes,2024-08-03
1,91476287897,Carlos,Barbosa,2021-10-19
1,71332764327,Bruno,Azevedo,2021-08-15
1,54749087103,Carlos,Medeiros,2023-10-16
2,04384458411904,Daniel,Moreira,2023-01-17
1,02465459579,Patrícia,Almeida,2018-07-25
1,42430800935,Carlos,Souza,2008-07-23
2,66083083802270,Gabriel,Ferreira,2009-12-16
1,12910093663,Karen,Lopes,2017-06-05
1,24353084113,Patrícia,Dias,2018-06-12
2,45155349507130,Bruno,Barbosa,2011-02-16
2,60600456670868,Daniel,Almeida,2011-12-07
2,70573260235813,Marcos,Cardoso,2025-08-09
2,08496654740202,Carlos,Moraes,2014-04-10
1,37135433703,Helena,Gomes,2024-10-22
1,92803389190,Luiz,Pereira,2020-03-19
2,22209177110448,Helena,Costa,2006-05-25
1,84755357064,Ana,Moreira,2014-04-15
1,43784658969,João,Barbosa,2016-08-15
2,52314199111385,Bruno,Azevedo,2025-09-20
1,63597102555,Vanessa,Martins,2018-03-09
2,92707728100665,Isabela,Dias,2023-05-24
2,16981209269538,Bruno,Souza,2023-08-29
2,29980908930863,Carlos,Teixeira,2008-10-30
1,10762158481,Rafael,Medeiros,2019-11-25
1,97755164490,Patrícia,Pereira,2013-01-26
2,69115529608640,Isabela,Almeida,2022-02-05
1,19645282313,Gabriel,Cardoso,2020-10-04
1,60693085941,Tiago,Azevedo,2018-10-09
1,87420333716,Daniel,Cardoso,2018-01-31
1,02210389312,Otávio,Rocha,2006-02-16
2,67978378611646,Isabela,Silva,2014-04-24
2,17363911032987,Sandra,Lopes,2012-08-18
2,68557511531021,Gabriel,Pereira,2015-08-02
2,06804947147471,Ana,Oliveira,2016-03-28
1,46115108581,Isabela,Silva,2013-06-20
1,86595255753,Vanessa,Pereira,2007-10-26
2,45240785081163,Gabriel,Ferreira,2018-03-09
1,15923374947,Helena,Ribeiro,2008-11-20
2,01825729522361,Sandra,Rocha,2019-08-28
2,65843021828733,Sandra,Gomes,2021-04-23
1,37853847713,Helena,Teixeira,2011-11-16
2,32438695352928,Tiago,Ferreira,2013-11-01
2,94371893166940,Eduardo,Gomes,2008-02-04
2,34913386362361,João,Barbosa,2018-04-28
1,58475568853,Patrícia,Martins,2005-06-19
1,69152577559,Patrícia,Cardoso,2023-09-22
1,85906571347,Rafael,Lopes,2017-12-21
2,08071510954391,Patrícia,Barbosa,2014-09-20
1,69778222092,Isabela,Pereira,2013-09-20
1,45964139305,Fernanda,Lopes,2021-06-29
1,34451723727,Vanessa,Medeiros,2010-04-08
1,68172009460,Bruno,Cardoso,2018-09-09
1,98686834697,Natália,Azevedo,2011-04-02
1,97734027152,Rafael,Almeida,2008-11-18
2,08938951532669,Patrícia,Ribeiro,2024-10-17
1,27460621484,Gabriel,Barbosa,2018-09-05
2,53142975777831,Isabela,Pereira,2009-11-28
1,51339723217,Isabela,Teixeira,2020-09-02
2,61533309766136,Gabriel,Rocha,2022-06-20
1,02232933711,Marcos,Teixeira,2020-10-25
1,32273282602,Sandra,Oliveira,2016-12-14
1,14556345374,Isabela,Lopes,2021-11-28
1,72191067749,Carlos,Ferreira,2019-02-24
2,96696377066239,Natália,Ribeiro,2023-08-22
2,13515024889780,Daniel,Almeida,2005-05-18
2,74730872464914,Carlos,Ribeiro,2006-08-16
1,20585550294,Bruno,Pereira,2015-03-22
1,17938668185,Vanessa,Martins,2024-05-25
1,63964593807,Rafael,Almeida,2005-06-04
1,83841883593,Marcos,Teixeira,2013-11-13
1,98424204168,Rafael,Silva,2009-07-26
1,97628363194,Carlos,Medeiros,2019-02-05
1,24520299764,Otávio,Oliveira,2021-02-07
1,36912804319,Sandra,Souza,2017-01-28
2,90459484821014,Otávio,Costa,2016-05-04
1,26451850909,João,Ferreira,2013-11-16
2,86887664783395,Bruno,Ferreira,2019-10-05
1,14653093053,João,Moraes,2025-04-25
2,06930414331415,Fernanda,Dias,2021-03-11
2,20990478504030,Ana,Souza,2009-09-16
1,54395351598,Luiz,Rocha,2008-08-11
1,33920812117,Patrícia,Costa,2011-05-12
2,01715391194668,Carlos,Costa,2011-10-06
2,39543428726160,Carlos,Oliveira,2007-09-08
2,58464245464541,Vanessa,Dias,2016-12-11
1,21787693210,Carlos,Cardoso,2022-03-02
2,16174431882519,Otávio,Almeida,2017-08-20
1,73835784132,Patrícia,Pereira,2014-04-08
1,69555129946,Vanessa,Moreira,2021-06-30
1,73678489849,Karen,Moraes,2009-05-25
1,62139551378,Marcos,Azevedo,2010-03-30
2,18417583285923,Marcos,Rocha,2024-09-22
2,00646108017161,Sandra,Silva,2017-02-27
1,18669374946,Vanessa,Martins,2021-12-25
1,00388217468,Marcos,Oliveira,2025-09-23
2,20451910172858,Ana,Martins,2012-11-22
1,23474875662,Fernanda,Pereira,2017-02-09
1,34057675480,Bruno,Silva,2021-01-26
2,90480746295318,Tiago,Barbosa,2010-11-21
1,53057122660,Helena,Silva,2013-09-02
1,34301294007,Rafael,Lopes,2011-11-12
1,73867566150,Karen,Ferreira,2009-06-07
1,96513647003,Fernanda,Oliveira,2015-05-19
1,48543026687,Sandra,Azevedo,2024-07-07
1,21656369405,Fernanda,Ribeiro,2023-07-09
2,02177674943047,Luiz,Moreira,2016-01-26
1,16712361906,Patrícia,Gomes,2025-02-15
1,59749290784,Karen,Rocha,2010-02-15
1,82580356834,Marcos,Medeiros,2008-11-07
2,89713946808877,Fernanda,Ferreira,2023-03-23
1,26608606755,Daniel,Ribeiro,2025-01-29
2,69130888523493,Marcos,Azevedo,2008-11-22
2,44587040100546,Fernanda,Dias,2008-08-11
2,13435810583159,Rafael,Pereira,2025-07-11
2,52553010073101,Ana,Martins,2013-07-24
2,21837189581360,Rafael,Costa,2015-03-23
1,79847112509,Rafael,Costa,2011-01-13
1,70062226319,Sandra,Lopes,2016-04-05
2,91247337584009,Patrícia,Azevedo,2012-09-18
1,43715823776,Patrícia,Souza,2008-03-02
2,03039000736860,Luiz,Teixeira,2012-11-20
1,47888005372,Patrícia,Ribeiro,2007-10-25
1,31673759871,Vanessa,Oliveira,2007-09-30
1,70521069718,Ana,Ribeiro,2024-04-06
1,31408480299,Eduardo,Teixeira,2012-04-20
2,16800165094970,Ana,Moraes,2005-01-05
2,81404199110119,Isabela,Cardoso,2007-04-14
2,24385223580497,Vanessa,Barbosa,2005-04-10
2,13420043106822,Tiago,Barbosa,2019-05-26
1,75464414982,Sandra,Moreira,2007-10-13
1,14488672171,Ana,Moraes,2017-01-01
2,81347005778395,Rafael,Teixeira,2005-02-13
1,76926585643,Fernanda,Oliveira,2006-05-05
2,47860925108684,Patrícia,Teixeira,2010-05-13
2,74782899196545,Fernanda,Pereira,2010-06-13
2,96338486014926,Karen,Lopes,2010-07-09
2,31867401740744,Gabriel,Teixeira,2020-01-31
2,92687063462465,Carlos,Moraes,2014-04-22
1,22492558227,Karen,Ribeiro,2005-10-07
2,22263695867271,Fernanda,Souza,2021-06-11
1,87433314775,Patrícia,Ribeiro,2011-04-10
